"rep","variable","true","mean","sd","q5","q95","rhat","ess_bulk","ess_tail","bias","rel_bias_pct","covered"
9,"beta_nu[1]",1.15,1.15133957,0.0370947283280592,1.09048674,1.21296614,1.0033080350293,742.047307578585,1244.02188704202,0.00133957000000007,0.116484347826093,TRUE
9,"beta_nu[2]",0.7,0.604772368605,0.057702379536014,0.5094079595,0.696453283,1.00664023692964,318.791366071253,483.243475675684,-0.0952276313949999,-13.6039473421428,FALSE
9,"beta_nu[3]",0.5,0.441810349605,0.0356602200970361,0.382370406,0.499459401,1.00428877952966,596.746423757631,859.057248716922,-0.058189650395,-11.637930079,FALSE
9,"beta_nu[4]",0.3,0.27535604518,0.0402727487145358,0.209626859,0.344262172,1.0067983509368,394.950062085866,895.87953452416,-0.02464395482,-8.21465160666666,TRUE
9,"beta_alpha2",0.024,0.024921673486685,0.00622579127022767,0.0149521538,0.03510017035,1.00020230367643,2569.90912586462,1622.80643589025,0.000921673486684999,3.84030619452083,TRUE
9,"beta_alpha3",0.05,0.056042944964,0.00555720003595484,0.0464600836,0.06512634965,1.00056671456252,2168.94166360798,1417.39547520984,0.006042944964,12.085889928,TRUE
9,"sigma_nu_c",0.5,0.532698607805,0.0450218653474876,0.463420858,0.6138794865,1.00904468922423,473.357277577134,839.178966883673,0.032698607805,6.539721561,TRUE
9,"sigma_nu_r",0.3,0.269829522755,0.0281970582347921,0.226237721,0.321423173,1.00122258363469,743.800208881321,954.617835130987,-0.030170477245,-10.0568257483333,TRUE
9,"sigma_nu_cr",0.3,0.343424124055,0.033402665941599,0.291706657,0.3993117045,1.00443559334256,555.346927194694,797.792453644923,0.043424124055,14.4747080183333,TRUE
9,"sigma_alpha_intercept",0.08,0.07948244179,0.00789643540327435,0.06693357665,0.09290923135,1.00184950228947,633.842554414914,1098.94026915658,-0.000517558210000005,-0.646947762500006,TRUE
9,"w",0.52,0.526043574915,0.00515786009158913,0.5173919485,0.5343664125,1.002744437356,925.362851515701,1218.07356491932,0.00604357491499996,1.1622259451923,TRUE
10,"beta_nu[1]",1.15,1.17053990155,0.0378291221788707,1.10925318,1.23243453,1.00442245653027,640.433825115891,920.947999626626,0.0205399015500001,1.78607839565218,TRUE
10,"beta_nu[2]",0.7,0.676189861885,0.0481262850130482,0.595742211,0.7563048105,1.00197407571581,453.293231420407,933.234570262677,-0.023810138115,-3.40144830214286,TRUE
10,"beta_nu[3]",0.5,0.41701606606,0.0360383342640299,0.3567386845,0.4777455815,1.00391013833632,680.193188805974,1060.77061133593,-0.08298393394,-16.596786788,FALSE
10,"beta_nu[4]",0.3,0.312417296815,0.0393861534355441,0.2480124865,0.3742164715,1.00553355564842,684.965916636211,1013.97224471992,0.012417296815,4.13909893833334,TRUE
10,"beta_alpha2",0.024,0.019201057364405,0.00616018039318422,0.009207500345,0.02948322915,1.00119163993428,3693.95248311907,1530.46799397861,-0.004798942635595,-19.9955943149792,TRUE
10,"beta_alpha3",0.05,0.0488384505975,0.00580587091900532,0.03936813895,0.058211505,1.00103327041351,2831.22018516831,1726.65676744411,-0.0011615494025,-2.32309880500001,TRUE
10,"sigma_nu_c",0.5,0.412212165755,0.0366621113486566,0.353198114,0.47628921,1.0039433424424,687.632226551188,855.627793481781,-0.087787834245,-17.557566849,FALSE
10,"sigma_nu_r",0.3,0.293703761,0.0279349579528516,0.2505995665,0.341309306,1.00249784229561,741.980936076288,1013.99583742983,-0.00629623899999998,-2.09874633333333,TRUE
10,"sigma_nu_cr",0.3,0.31390450482,0.0326496109981465,0.260716045,0.3685647915,1.00173388672699,753.570843111875,1314.72598635536,0.01390450482,4.63483494,TRUE
10,"sigma_alpha_intercept",0.08,0.077603758182,0.00779799877670537,0.0657064972,0.09064024305,1.00376148494544,707.59849260004,1216.66101593863,-0.00239624181800001,-2.99530227250001,TRUE
10,"w",0.52,0.522297409875,0.00523599103872541,0.514022274,0.531001846,1.00127268690718,1022.73717969933,1140.64417108026,0.00229740987499993,0.441809591346141,TRUE
