"rep","subj","t0_mean","t0_q05","t0_q95","sv_mean","sv_q05","sv_q95","alpha_mean","alpha_q05","alpha_q95","t0_true","alpha_true","sv_true","t0_covered","sv_covered","alpha_covered"
1,58,0.233491297496008,0.226560308790487,0.240461217647564,0.547418654335,0.3364440895,0.7865363835,1.61536891852445,1.50266408909676,1.73339831658357,0.241181646503456,1.36945333744288,0.5,FALSE,TRUE,FALSE
1,59,0.208137878759476,0.20110863237537,0.214601747404531,0.538284547095,0.3405236705,0.7571108495,1.80463192463521,1.6828807410342,1.93430701468439,0.192839671669818,1.82357856970324,0.5,FALSE,TRUE,TRUE
1,60,0.241078207061221,0.23313838839588,0.248254309878566,0.496260843705,0.316844579,0.675624693,1.91611280649304,1.79333225752931,2.04564856133638,0.232268568522977,1.93445138791548,0.5,FALSE,TRUE,TRUE
1,61,0.208321769444753,0.201488985337793,0.214553241646379,0.4546385757535,0.2711785505,0.6241671255,2.18462236765404,2.04234266814805,2.33306205983694,0.193444382092592,2.25837101653133,0.5,FALSE,TRUE,TRUE
1,62,0.213326208549434,0.206475156786102,0.21956049696222,0.50048375236,0.3147829955,0.6849857655,1.92411592726492,1.80039591468224,2.05515532287626,0.187127316130146,1.96984168087739,0.5,FALSE,TRUE,TRUE
1,63,0.240353580900691,0.232709307733438,0.247476772751213,0.504635548525,0.321595338,0.6949718615,1.83546123246964,1.71555071480109,1.9574158358962,0.209059119617819,1.78223716065744,0.5,FALSE,TRUE,TRUE
1,64,0.167933071256622,0.161796106498182,0.173202143057993,0.4971959353385,0.3132206255,0.6803623945,1.72319686972338,1.59718659860252,1.85963607452441,0.147288366660125,1.72748783060712,0.5,FALSE,TRUE,TRUE
1,65,0.217473622941729,0.210003313851012,0.224182458521298,0.54113538827,0.3452955935,0.7760958315,1.64941172864671,1.54843540708445,1.7541858466683,0.202282554094847,1.59227955217546,0.5,FALSE,TRUE,TRUE
1,66,0.227372795203173,0.219922320042951,0.234335248361802,0.50266755536,0.3166738425,0.6857485305,1.74479268195691,1.61891299844611,1.87556165711061,0.174899244972824,1.89183868796072,0.5,FALSE,TRUE,FALSE
1,67,0.236061801972711,0.228255881756418,0.24320134824429,0.519254214755,0.342898734,0.7063924825,1.91353408195586,1.78865076044753,2.04571456213142,0.173200070622689,2.1478794613797,0.5,FALSE,TRUE,FALSE
1,68,0.218579738717276,0.2112129632115,0.225144446552304,0.533883924975,0.3344283445,0.755718924,1.83553866543245,1.71482107217329,1.96439072043109,0.221647342690176,1.85868324296357,0.5,TRUE,TRUE,TRUE
1,69,0.199998265401286,0.193519166875554,0.205886704993885,0.51447928103,0.3357756505,0.6911918485,1.83003806180663,1.70008395221972,1.97007263158775,0.197822014497461,2.05419939621718,0.5,TRUE,TRUE,FALSE
1,70,0.230633056510139,0.222596648420762,0.237773882200849,0.50798368,0.319495651,0.7165506685,1.76592595335026,1.65933366950055,1.88215380772533,0.185013666684026,2.13254798414224,0.5,FALSE,TRUE,FALSE
1,71,0.214287706670086,0.207410892599721,0.220755624322968,0.48325509257,0.30392425,0.6614307405,1.68265461776043,1.55840208491031,1.81668837652014,0.202582152734399,1.68759153273193,0.5,FALSE,TRUE,TRUE
1,72,0.239968778825533,0.231020508159145,0.24718549752532,0.488634499675,0.306372895,0.663253745,1.88101902467942,1.74044669094518,2.02847818924483,0.152337803669065,2.36128064511828,0.5,FALSE,TRUE,FALSE
1,73,0.20776387485133,0.201052095439894,0.213950332790048,0.56410520077,0.3639745985,0.808369744,1.74372606177992,1.63324414696457,1.86193517636955,0.192598453474492,1.67995537043024,0.5,FALSE,TRUE,TRUE
1,74,0.294383886356187,0.285497498251815,0.303897374407719,0.489545641335,0.307917502,0.670402643,1.8676859034886,1.73047359294388,2.0081520187768,0.220401237510393,1.8898856477603,0.5,FALSE,TRUE,TRUE
1,75,0.257735171538344,0.250189971346334,0.265822294362956,0.495351390729,0.3158382905,0.6610765365,1.96857342156581,1.81968268177173,2.12269684169299,0.213176804495594,2.13793041706353,0.5,FALSE,TRUE,FALSE
1,76,0.1752294783973,0.168853108400932,0.180398155800615,0.50992764207,0.324348477,0.7003103125,1.6477071284651,1.53965899630901,1.75802991681867,0.177325388549476,1.68005674424086,0.5,TRUE,TRUE,TRUE
1,77,0.228507133186741,0.221134143281436,0.235942307086834,0.5426476526455,0.3539263385,0.780324568,1.6786746512795,1.55828020211893,1.79869945724412,0.222272262627635,1.60991193736988,0.5,TRUE,TRUE,TRUE
1,78,0.220976613388203,0.213910767751089,0.22802305379266,0.48043853483,0.2934875785,0.649660083,1.92344025636134,1.78365505811521,2.07045247664481,0.209196591243165,1.64627184267734,0.5,FALSE,TRUE,FALSE
1,79,0.1983690160191,0.191442395253489,0.204250011248442,0.52739453586,0.3389315375,0.7375596245,1.71459157594031,1.59669443369385,1.83909610229972,0.180725299246811,1.74886410871516,0.5,FALSE,TRUE,TRUE
1,80,0.207134416020515,0.200557415261768,0.214426640079891,0.495962972186,0.2991258155,0.684295712,1.6989139013407,1.5782536351203,1.82102845393654,0.212337092879997,1.55063825733301,0.5,TRUE,TRUE,FALSE
1,81,0.267622022253274,0.25982411437476,0.276014931617939,0.4977476395,0.3110498035,0.6800835955,1.94741933211643,1.8022852113509,2.10059757148226,0.258694707506028,2.026169999101,0.5,FALSE,TRUE,TRUE
1,82,0.24592962307109,0.238017295789654,0.253718811266399,0.483089316705,0.2950651425,0.6602137205,1.95159376235971,1.82210001537337,2.08699875075268,0.224604664625941,1.8891882042521,0.5,FALSE,TRUE,TRUE
1,83,0.22977504118409,0.222537658902342,0.237340848053221,0.534594892675,0.3289649595,0.7552544575,1.72222758222667,1.6078824350483,1.84009802038273,0.207582455948188,1.76339980476708,0.5,FALSE,TRUE,TRUE
