"participant","cell","cell_label","nu_mean","nu_lo95","nu_hi95","alpha_mean","alpha_lo95","alpha_hi95"
114,3,"incong/post-corr",-1.36522432483656,-2.13712219325,-0.6206780995,0.888511148496588,0.807197342412599,0.981699615297263
115,3,"incong/post-corr",0.846281667569287,0.291916604825,1.4009118625,0.80996932392683,0.746267134367307,0.880276872311589
116,3,"incong/post-corr",1.3603708016035,0.9266754405975,1.7981154718,1.16649214438284,1.0627542433599,1.2798754444581
117,3,"incong/post-corr",0.619321472788431,0.0549568619999999,1.1804122395,0.721876533938527,0.668797507315794,0.778744793292279
118,3,"incong/post-corr",0.891515655303179,0.44853897975,1.345210639,1.15158492216818,1.07215911698562,1.23962079954004
119,3,"incong/post-corr",1.46552435142767,1.0410411788,1.91019981645,1.15961182240969,1.06211190618317,1.26682244367905
120,3,"incong/post-corr",-0.152706143439094,-0.6895459465,0.39301732,1.0125444690366,0.929300914497838,1.10051175784032
121,3,"incong/post-corr",1.15197093652147,0.678809211075,1.61291387675,1.02605150862136,0.945093218234673,1.11534105861589
122,3,"incong/post-corr",0.864589891386469,0.324885767,1.3985119779205,0.960804445502591,0.881305718757151,1.04827057718612
123,3,"incong/post-corr",0.554855717331946,-0.0440272787500001,1.1636412691925,0.843327204362773,0.770284680623143,0.92346796763783
124,3,"incong/post-corr",0.471234785181951,-0.0944966560000002,1.026136224875,0.920843191002779,0.84039011113916,1.00673577910369
125,3,"incong/post-corr",0.630725511164006,0.0695728432249999,1.195474113075,0.791807518842812,0.73299206815233,0.854800542609868
126,3,"incong/post-corr",0.377327379127062,-0.211585472,0.978763614849999,0.777457822006525,0.715133067304325,0.843547368339935
127,3,"incong/post-corr",-1.11769746883711,-1.78333960725,-0.438645677750001,0.90409580039618,0.822316711655161,0.996431744574537
128,3,"incong/post-corr",0.914660781393742,0.36492745,1.45149179475,0.820105952525251,0.751603980815866,0.893141773400545
129,3,"incong/post-corr",0.845515518517421,0.308114807205,1.38298440705,0.886657524465624,0.816672605560701,0.961491685418572
130,3,"incong/post-corr",0.338735761556719,-0.2230292077,0.900836427374999,0.846923876226607,0.780476413081885,0.918594322950501
131,3,"incong/post-corr",1.0203197483984,0.546818452,1.4866744915,1.10904552618013,1.02141678093788,1.20704433414408
132,3,"incong/post-corr",0.465378625194628,-0.1236668427825,1.05359358775,0.758665765007834,0.697043331144831,0.823382325528525
133,3,"incong/post-corr",0.882136433431401,0.37190776545,1.393761139125,0.935632914000758,0.864554481885539,1.01212246273007
134,3,"incong/post-corr",0.710702717141179,0.17947047075,1.2449630365,0.928440519704016,0.851883663170783,1.01076098348883
135,3,"incong/post-corr",1.71081223706448,1.2302253729,2.1953561668,0.949591050456767,0.863455221308203,1.04726702044928
136,3,"incong/post-corr",0.991029310938748,0.484730447725,1.512749894025,1.00992450660219,0.932629349951011,1.09188565399058
137,3,"incong/post-corr",0.4400275346088,-0.0734111436,0.948460064,0.916742041704013,0.846752902760572,0.993204911434424
138,3,"incong/post-corr",0.703923168564654,0.1899139695,1.22096598675,0.941267977936421,0.866001179552735,1.02140195098488
139,3,"incong/post-corr",0.378299732924721,-0.156948104,0.903396658295,0.978346858454785,0.901901756487049,1.06081775535712
140,3,"incong/post-corr",1.02989514914996,0.50592005425,1.549669654,0.898416528426517,0.82507764919168,0.978259662243973
141,3,"incong/post-corr",0.0443338904529598,-0.587874419825,0.680392997,0.723290959359982,0.665028292956413,0.785570959474075
142,3,"incong/post-corr",-0.680990524742169,-1.39151494499,0.0231072400499996,0.98972158047442,0.88916440929721,1.09796600860635
143,3,"incong/post-corr",0.79756603258621,0.2619577387,1.34572933795,0.846822042815476,0.776037548993645,0.923451602284167
144,3,"incong/post-corr",-0.382008271799136,-1.02309135325,0.259064402175,0.895317829438574,0.819245421764493,0.977112060073879
145,3,"incong/post-corr",0.00864676091613666,-0.58395954475,0.6005175409,0.831125891570041,0.767340867362116,0.90020396456729
146,3,"incong/post-corr",0.831416610033001,0.268852729525,1.409296837575,0.709727339075008,0.659787167944013,0.763728112525465
147,3,"incong/post-corr",1.56347301562328,1.13773973775,1.986229559995,1.196055401586,1.10485333568169,1.29782988542075
148,3,"incong/post-corr",1.14876243011574,0.6774892755975,1.61992976615,1.02286046731885,0.944769326982244,1.10845040776309
149,3,"incong/post-corr",0.654174624938659,0.16585578625,1.148245503,1.01261645955413,0.935490596223785,1.09244653159622
150,3,"incong/post-corr",0.33326730479514,-0.16891912025,0.840749732,1.01450581074619,0.939740193644445,1.09419859606338
151,3,"incong/post-corr",-1.52807835640036,-2.293555871,-0.751082150025,1.01009825096136,0.910910138461618,1.11803371134495
152,3,"incong/post-corr",1.49294742217147,1.089729699,1.901852851775,1.1116058685227,1.02904795557948,1.1977755367087
153,3,"incong/post-corr",0.991126763738347,0.5525547725,1.43131158775,1.11309968581552,1.02449208535183,1.210132151951
154,3,"incong/post-corr",0.390365761773006,-0.1706998938,0.965178087875,0.912038879153262,0.842674504163359,0.9894025122829
155,3,"incong/post-corr",-0.706779393883824,-1.389815037575,-0.0307937367500002,0.843443683716463,0.773365344943141,0.91937476402781
156,3,"incong/post-corr",-0.321224959152884,-0.954952117825,0.31099342835,0.739058382007904,0.675246205412735,0.809197532130874
157,3,"incong/post-corr",-1.69497829670952,-2.481739953,-0.87684337975,0.710277245140785,0.645412514878496,0.780776719240727
158,3,"incong/post-corr",-0.183796715818735,-0.84904287725,0.471709717525,0.948568648261916,0.854573674296474,1.05046483897442
159,3,"incong/post-corr",0.588144180542586,0.0486299952499999,1.1210095944875,0.884081211065734,0.819001333502474,0.955269696353652
160,3,"incong/post-corr",1.12084535178781,0.586467328,1.6520291957,0.930558498266186,0.851999832439672,1.01778135695429
161,3,"incong/post-corr",1.82756962344683,1.3728592945,2.27703035325,1.12430960294855,1.0338987836075,1.22425578210166
162,3,"incong/post-corr",1.44301352715587,0.97285181925,1.91175835645,1.00420274198231,0.93900152327164,1.07500668996265
163,3,"incong/post-corr",0.340771410110588,-0.23477068005,0.91132760175,0.905264633235794,0.83886723291753,0.97731496591386
164,3,"incong/post-corr",1.05748388608541,0.60834759725,1.506020058675,0.989298418722303,0.909087060896562,1.07576015684475
165,3,"incong/post-corr",0.743732082343753,0.219285557025,1.253278277225,0.860551385332928,0.784828370272441,0.943850653938768
166,3,"incong/post-corr",1.52627774514008,1.0068843608,2.038026728775,0.848545651517176,0.771894112345436,0.933172764811258
167,3,"incong/post-corr",0.0954580076859465,-0.477624988,0.667759615249999,0.847664871045748,0.780788315792749,0.921418987756807
168,3,"incong/post-corr",-1.00248822750364,-1.66686205675,-0.32386968055,0.96302672225046,0.885158409673549,1.04571901004296
169,3,"incong/post-corr",1.54868166247245,1.12735986765,1.975603911625,1.27663736824255,1.17719006756561,1.38197368600937
170,3,"incong/post-corr",0.764211764079185,0.256711479825,1.2632785105,0.88110356896992,0.81255921409709,0.95784346712335
171,3,"incong/post-corr",0.297208141037413,-0.32926482175,0.90175656595,0.71667232497481,0.6528164457402,0.786327318879396
172,3,"incong/post-corr",1.68475609748659,1.17580866825,2.19594304275,0.92261711043571,0.839854620942684,1.01662268864515
173,3,"incong/post-corr",0.426425575918121,-0.0803111851750001,0.94862416825,1.06498350963552,0.979534416590063,1.15804742965196
174,3,"incong/post-corr",0.456969000671106,-0.0937355532500001,1.01038701645,0.791927097463085,0.731749313956281,0.858900429164723
175,3,"incong/post-corr",0.110179115291866,-0.50791437925,0.719907480139999,0.828564792558341,0.760015200505873,0.904063414494065
176,3,"incong/post-corr",0.671589003460978,0.158688414935,1.1830117885,0.980276823269749,0.904313389666395,1.06325290866173
177,3,"incong/post-corr",0.882787312935577,0.44011224325,1.319685593325,1.15333755693041,1.0650480366481,1.24755727447945
178,3,"incong/post-corr",-0.958966574836391,-1.77089545925,-0.152368605225,0.834535665466355,0.74711421620835,0.930726650263393
