"subj","cell","alpha","nu"
79,"incong/post-corr",1.66662675384127,1.40947497147397
80,"incong/post-corr",1.65130144120935,-0.511214389851343
81,"incong/post-corr",1.89266130473319,0.826856504615385
82,"incong/post-corr",1.89700370080613,0.265273386092616
83,"incong/post-corr",1.67414721384222,1.00664308815553
84,"incong/post-corr",1.81205201717506,-0.5743334031195
85,"incong/post-corr",1.69500310310983,0.7934690680687
86,"incong/post-corr",1.830413928483,1.30081346113043
87,"incong/post-corr",1.82365335079444,0.844577483214005
88,"incong/post-corr",2.11111770278882,0.641057432302989
89,"incong/post-corr",1.82067057901152,1.79888178368126
90,"incong/post-corr",1.67211576777253,1.01013338646543
91,"incong/post-corr",1.77356728928966,0.672040510765755
92,"incong/post-corr",1.53104221840995,0.877111488148675
93,"incong/post-corr",1.65995697419682,0.875962410890283
94,"incong/post-corr",1.9141084374749,0.353462249823865
95,"incong/post-corr",1.69655564575946,1.31673579941529
96,"incong/post-corr",1.64288619202379,1.17571350313461
97,"incong/post-corr",1.80278140225725,0.036876013203609
98,"incong/post-corr",1.73564668577199,0.350226056693359
99,"incong/post-corr",1.74342618952302,-0.0858634390050779
100,"incong/post-corr",1.63878759278791,1.10318750683165
1,"incong/post-err",1.79828049225348,0.18570094019742
2,"incong/post-err",1.55700202987957,1.01465683072233
3,"incong/post-err",1.78080334874209,0.492444646497589
4,"incong/post-err",1.66614024768094,1.24798698666811
5,"incong/post-err",1.70335600652101,0.41469355464445
6,"incong/post-err",1.50383529933908,0.063744760185634
7,"incong/post-err",1.68729065942976,0.1421757220005
8,"incong/post-err",1.60966114885099,0.0765102561759701
9,"incong/post-err",1.70670962597801,0.6147798223855
10,"incong/post-err",1.80209361861465,0.43831635103111
11,"incong/post-err",1.59578582521938,-0.602209477021551
12,"incong/post-err",1.71831043194684,-0.32478414409994
13,"incong/post-err",1.654819933374,0.9319893371552
14,"incong/post-err",1.57148938990037,0.278171789849875
15,"incong/post-err",1.81246265378838,-0.59512834853935
16,"incong/post-err",1.79666951152027,0.234421382415035
17,"incong/post-err",1.54488493779609,0.69029928684125
18,"incong/post-err",1.75923129986736,0.65510889215172
19,"incong/post-err",1.6656390837616,-0.0584253512651549
20,"incong/post-err",1.79172653843461,0.798514649051829
21,"incong/post-err",1.716660128197,0.35432852227072
22,"incong/post-err",1.56368630625536,1.35285520375056
23,"incong/post-err",1.72770331411084,0.0882610732228267
24,"incong/post-err",1.68055332104385,0.675833647720425
25,"incong/post-err",1.48990276180314,0.65488502798722
