"participant","cell","cell_label","nu_mean","nu_lo95","nu_hi95","alpha_mean","alpha_lo95","alpha_hi95"
30,1,"cong/post-corr",8.12181140061667,7.19777417885,9.09165773725,0.968014661904015,0.837962999445924,1.09842570763724
31,1,"cong/post-corr",6.30102226041458,5.50212572725,6.96440824875,1.15585879984042,1.03607642192936,1.30805705246558
32,1,"cong/post-corr",6.2980439552425,5.51020706275,7.444695257575,1.28691433952101,1.14376535649742,1.46641141325368
33,1,"cong/post-corr",6.35296198721667,5.5703859945,7.03197709075,1.08424637116035,0.95882273089562,1.21621259140632
34,1,"cong/post-corr",5.22679394291,4.574708586575,6.04131681425,1.23159888020318,1.09830470751017,1.42566386724925
35,1,"cong/post-corr",9.52705171658333,8.047871001,11.04176356775,1.07167495717019,0.936358345183323,1.23342774869367
36,1,"cong/post-corr",6.381858882225,5.55567720725,7.10037110645,1.26078286178653,1.13995638032914,1.38807821629657
37,1,"cong/post-corr",6.16822051124833,5.3345193939,7.22372689625,1.15514508554884,1.03758173533941,1.28882495450529
38,1,"cong/post-corr",6.73187915572667,5.756871428375,7.491121459,1.1348907379589,1.0014498935867,1.29417350619657
39,1,"cong/post-corr",8.0216893265075,7.0000766086,8.92086284275,1.0225449041454,0.921412093947124,1.12873566987424
40,1,"cong/post-corr",7.9643823583675,6.96468051925,9.10958486275,0.984256329208287,0.868348173313787,1.11491227241122
41,1,"cong/post-corr",5.917168337275,5.087359663,6.593380377,1.37426127568679,1.22552157124688,1.55302320613549
42,1,"cong/post-corr",6.90604635174891,5.96030392975,7.8344735815,1.13860908038804,1.00274325112657,1.27350374643976
43,1,"cong/post-corr",6.86143463626583,5.773579629,7.8681504535,1.0456147624145,0.899320975714106,1.22159917522112
44,1,"cong/post-corr",6.1080158898275,5.190369852,6.85068087925,1.19405079473504,1.05733205737073,1.34059493815714
45,1,"cong/post-corr",8.16969918909167,7.213022521825,9.31714677725,0.98773565982838,0.881679215047017,1.08932025187558
46,1,"cong/post-corr",8.11466692695833,7.2452597335,9.07636506375,0.893311932134557,0.780675518616652,1.02443643771352
47,1,"cong/post-corr",6.763854151145,5.9192958375,7.87374495875,1.23575096035412,1.1181306514558,1.37798378938793
48,1,"cong/post-corr",7.3973502504625,6.3265232015,8.606070716,1.1786022191703,1.05988969239499,1.29863294868815
49,1,"cong/post-corr",6.06342787443083,5.182159351,6.989815805725,1.28907777637104,1.13636220033927,1.50602202113519
50,1,"cong/post-corr",8.41245097716667,7.31278329775,9.46262344575,0.932571929688826,0.835126665898659,1.02590324477397
51,1,"cong/post-corr",9.43347459142749,8.40234020825,10.81486113675,0.905031599367052,0.794386816651774,1.0380951085301
52,1,"cong/post-corr",6.13767908553917,5.04608385675,7.19075265975,1.27547238933614,1.14368126498854,1.42669971536343
53,1,"cong/post-corr",6.31800999719918,5.399899067725,7.16438976625,1.04658006734527,0.919078149623194,1.17797912720222
54,1,"cong/post-corr",4.64639778899917,3.943829813325,5.3557950395,1.27112180293056,1.15680234509111,1.42513083009535
55,1,"cong/post-corr",6.78729875940297,5.8442080535,7.7340719335,1.01540848929832,0.902149251817298,1.12986361681849
56,1,"cong/post-corr",7.22887500611817,6.322016209,8.16327137125,0.905788631812505,0.81927861022887,1.02411753153477
57,1,"cong/post-corr",9.09119214111417,7.926261800425,10.3186687075,0.852850701707714,0.735946724533146,0.982578381356819
58,1,"cong/post-corr",5.12085695558333,4.4420829355,5.94179156025,1.23597580749217,1.07987908449844,1.39955534130583
59,1,"cong/post-corr",7.96778609413916,6.933207386,9.095998426,1.03852367908751,0.907254719081166,1.16099181817878
60,1,"cong/post-corr",7.37077151169,6.4144327309,8.49032841725,1.20992053687701,1.0853493004258,1.33519013329622
61,1,"cong/post-corr",7.47914920553333,6.691022306,8.46693417525,1.16474920138342,1.06270945797513,1.29308126751122
62,1,"cong/post-corr",8.20712573640417,7.1523496885,9.05188836725,0.918046744086373,0.827031714599514,1.0384075130471
63,1,"cong/post-corr",7.965536205185,6.832478431025,9.0890176005,1.02386353667959,0.900701308745015,1.14030473171363
64,1,"cong/post-corr",5.43031213669184,4.53817230775,6.14626303825,1.05403462702926,0.937854545200178,1.19493858271383
65,1,"cong/post-corr",7.18161724350333,6.3122561625,8.19299382325,1.136565806213,1.03638704979035,1.24105800442604
66,1,"cong/post-corr",6.78320213741584,5.85344229395,7.70778870675,1.07713685662512,0.939912167602264,1.24439572036861
67,1,"cong/post-corr",6.06682226914167,5.11701277425,6.92125345075,1.10838573514329,0.97358201419789,1.27624593206042
1,2,"cong/post-err",5.38422263165,4.18262787875,6.62070331245,1.12779042457886,0.973854864107832,1.30762988418647
2,2,"cong/post-err",6.11326933750833,5.16891765725,7.11460950575,1.31961176271963,1.15905770755814,1.50135875941227
3,2,"cong/post-err",6.71768955998167,5.660120886,7.8922373895,1.05109573733962,0.922303616806715,1.21238267098008
4,2,"cong/post-err",6.22644387522667,5.22750308925,7.288984704,1.46002938304582,1.29625493828208,1.65208606818975
5,2,"cong/post-err",7.217164759205,6.153482553075,8.3150200065,1.13805362894683,0.998828161543441,1.28653588277652
6,2,"cong/post-err",6.16609362562733,5.0233203315,7.466828388842,1.16623955441708,1.03777377298135,1.31108242785598
7,2,"cong/post-err",6.15009740848167,5.08841991675,7.2542282995725,1.17651851136826,1.02191723141748,1.34705474932042
8,2,"cong/post-err",5.0687126181,4.0326700695,6.49773693765,1.29585050972785,1.15043286622227,1.47359422977018
9,2,"cong/post-err",6.65350175949584,5.65115361425,7.74068309625,1.10136013558957,0.967117216500064,1.25637635378582
10,2,"cong/post-err",7.02667168935417,6.173260956,8.021910647175,1.21609107498913,1.07883483078192,1.35603052215296
11,2,"cong/post-err",5.7892932606325,4.6503803975,6.8598022469,1.41454963582376,1.23519479409635,1.59624255259289
12,2,"cong/post-err",4.958504630105,3.63620085375,6.3190012976,1.30221817953859,1.15359687216473,1.47332768550811
13,2,"cong/post-err",5.81039368251083,4.657966898,7.0196396412,1.15405794288396,1.03394738827353,1.28338764699446
14,2,"cong/post-err",5.56182882778667,4.56797331025,6.52971880435,1.3673807485549,1.22261318988992,1.50711780146302
15,2,"cong/post-err",5.42611379143,4.22356397275,6.731950542175,1.25333837973022,1.09018465363296,1.39627211378964
16,2,"cong/post-err",6.5462881955,4.769066677,8.03122906515,0.889866127321354,0.761737641916458,1.05247998818494
17,2,"cong/post-err",6.9926665068875,5.812743315,8.19168250475,1.08853808783462,0.966296641901173,1.22181677567823
18,2,"cong/post-err",5.77361042871167,4.65452759325,7.00864932295,1.09490950552991,0.962802514195119,1.24909199996674
19,2,"cong/post-err",6.70155206790834,5.289079133,7.6991148558,1.20136533188604,1.08715516949801,1.33690387238726
