"participant","cell","cell_label","nu_mean","nu_lo95","nu_hi95","alpha_mean","alpha_lo95","alpha_hi95"
141,3,"incong/post-corr",0.0545454130811333,-0.554861674525,0.678715044249999,0.723219078105768,0.66632676149878,0.784871395708079
142,3,"incong/post-corr",-0.674420295310453,-1.37657824605,0.040820431625,0.98897112708903,0.889933705029185,1.09754843609929
143,3,"incong/post-corr",0.803432414231545,0.251129537895,1.3554461461,0.846270948427589,0.778476673775027,0.920919448639664
144,3,"incong/post-corr",-0.384360022423994,-1.00380498725,0.253834469425,0.896329661860675,0.820801356298133,0.979648902048249
145,3,"incong/post-corr",0.00841989909467181,-0.5883390635,0.601164334,0.831348748351102,0.766834639191293,0.898261818296498
146,3,"incong/post-corr",0.825978543220282,0.25005313025,1.3925253491,0.709956729160885,0.658414697958544,0.764826656137657
147,3,"incong/post-corr",1.56438666373813,1.1393803065,1.991555366775,1.1955928747132,1.10051901115738,1.29780489149108
148,3,"incong/post-corr",1.15024832623471,0.6787213665,1.628293043025,1.02275616712454,0.945744478658486,1.10546994685965
149,3,"incong/post-corr",0.653302099906044,0.14111853275,1.144429940975,1.01231299756126,0.936747920159648,1.09355116616274
150,3,"incong/post-corr",0.333081445512833,-0.15708326915,0.823762717175,1.01381080132239,0.936822267511469,1.09215761098823
151,3,"incong/post-corr",-1.53150508581514,-2.2892682495,-0.77334464775,1.01071900858733,0.911876054771263,1.11856541642925
152,3,"incong/post-corr",1.48899094822725,1.080454507,1.903861499675,1.1117198382846,1.02941903501684,1.19805790482962
153,3,"incong/post-corr",0.987789918099118,0.55499575775,1.430770450675,1.11266640035732,1.0232476149637,1.20826250502887
154,3,"incong/post-corr",0.388651286949987,-0.19297000925,0.960823182675,0.911762968621702,0.840668398175595,0.988389045989798
155,3,"incong/post-corr",-0.70938565278932,-1.40768477975,-0.0223926142500002,0.843434612414016,0.77526092734321,0.917698976335864
156,3,"incong/post-corr",-0.319348457122757,-0.95251221385,0.3323455355,0.739026310063743,0.674404596760936,0.810284522830849
157,3,"incong/post-corr",-1.68560325828977,-2.48951679075,-0.8844066714,0.710302278255613,0.649007712546715,0.778846530811398
158,3,"incong/post-corr",-0.185617075859398,-0.8815979955,0.491556201499999,0.948972178492663,0.857080148958918,1.04759304742403
159,3,"incong/post-corr",0.592753275487337,0.0487371199749997,1.12614321775,0.883555308912918,0.818438071969507,0.956824402733279
160,3,"incong/post-corr",1.11949211848196,0.60271566,1.6387971427,0.930592913650952,0.853915473303357,1.01334049546443
